cluster,learning_days_ratio,daily_reviews,reviews_per_learning_day,accuracy
sprinter,0.55,35,64,0.78
sprinter,0.42,28,52,0.81
sprinter,0.60,48,79,0.75
sprinter,0.47,33,59,0.73
sprinter,0.38,26,45,0.80
sprinter,0.51,38,70,0.77
sprinter,0.63,55,88,0.83
sprinter,0.49,42,67,0.74
sprinter,0.44,24,41,0.76
sprinter,0.58,46,72,0.79
sprinter,0.52,39,55,0.82
sprinter,0.41,30,48,0.71
sprinter,0.67,58,92,0.84
sprinter,0.36,22,43,0.75
sprinter,0.48,37,60,0.78
sprinter,0.54,40,69,0.80
sprinter,0.59,52,85,0.82
sprinter,0.46,32,57,0.74
sprinter,0.62,49,78,0.81
sprinter,0.50,41,66,0.79
marathoner,0.14,18,110,0.87
marathoner,0.10,15,130,0.91
marathoner,0.08,11,145,0.88
marathoner,0.17,22,95,0.82
marathoner,0.12,16,121,0.90
marathoner,0.05,10,160,0.93
marathoner,0.18,24,102,0.84
marathoner,0.09,13,150,0.89
marathoner,0.07,12,167,0.92
marathoner,0.19,25,90,0.81
marathoner,0.11,14,118,0.86
marathoner,0.06,10,175,0.94
marathoner,0.13,17,135,0.88
marathoner,0.16,21,112,0.85
marathoner,0.04,9,182,0.95
marathoner,0.15,20,104,0.83
marathoner,0.09,12,149,0.87
marathoner,0.07,11,170,0.93
marathoner,0.18,23,108,0.84
marathoner,0.12,16,128,0.89
planner,0.45,40,90,0.81
planner,0.50,45,85,0.79
planner,0.62,55,98,0.83
planner,0.58,53,87,0.78
planner,0.48,38,72,0.75
planner,0.70,60,102,0.84
planner,0.66,57,95,0.82
planner,0.52,44,80,0.77
planner,0.59,51,91,0.81
planner,0.63,56,100,0.83
planner,0.47,36,75,0.76
planner,0.69,61,110,0.85
planner,0.57,49,89,0.80
planner,0.64,52,92,0.81
planner,0.53,43,78,0.76
planner,0.61,54,97,0.82
planner,0.56,50,88,0.79
planner,0.49,39,73,0.75
planner,0.68,59,105,0.84
planner,0.60,52,93,0.81
